tour_date,tour_year,tour_month,num_guides,headcount
2019-12-07,2019,12,2,61.0
2019-12-08,2019,12,2,66.0
2019-12-09,2019,12,2,44.0
2019-12-10,2019,12,2,45.0
2019-12-11,2019,12,2,58.0
2019-12-12,2019,12,3,72.0
2019-12-13,2019,12,3,100.0
2019-12-14,2019,12,3,73.0
2019-12-15,2019,12,2,66.0
2019-12-16,2019,12,4,100.0
2019-12-17,2019,12,2,68.0
2019-12-18,2019,12,3,88.0
2019-12-19,2019,12,1,32.0
2019-12-20,2019,12,4,93.0
2019-12-21,2019,12,2,65.0
2019-12-22,2019,12,3,74.0
2019-12-23,2019,12,4,116.0
2019-12-24,2019,12,3,113.0
2019-12-26,2019,12,3,91.0
2019-12-27,2019,12,7,187.0
2019-12-28,2019,12,6,182.0
2019-12-29,2019,12,6,184.0
2019-12-30,2019,12,9,349.0
2019-12-31,2019,12,6,223.0
2020-01-01,2020,1,3,73.0
2020-01-02,2020,1,8,238.0
2020-01-03,2020,1,6,182.0
2020-01-04,2020,1,2,57.0
2020-01-05,2020,1,3,95.0
2020-01-06,2020,1,3,110.0
2020-01-07,2020,1,3,93.0
2020-01-08,2020,1,4,113.0
2020-01-09,2020,1,4,102.0
2020-01-10,2020,1,2,63.0
2020-01-11,2020,1,3,81.0
2020-01-12,2020,1,2,42.0
2020-01-13,2020,1,2,61.0
2020-01-14,2020,1,2,57.0
2020-01-15,2020,1,2,57.0
2020-01-16,2020,1,2,71.0
2020-01-17,2020,1,1,15.0
2020-01-18,2020,1,2,46.0
2020-01-19,2020,1,2,56.0
2020-01-20,2020,1,3,90.0
2020-01-21,2020,1,2,58.0
2020-01-22,2020,1,2,51.0
2020-01-23,2020,1,2,68.0
2020-01-24,2020,1,2,55.0
2020-01-25,2020,1,2,63.0
2020-01-26,2020,1,1,50.0
2020-01-27,2020,1,2,49.0
2020-01-28,2020,1,2,56.0
2020-01-29,2020,1,2,48.0
2020-01-30,2020,1,2,45.0
2020-01-31,2020,1,2,52.0
2020-02-01,2020,2,2,40.0
2020-02-02,2020,2,2,47.0
2020-02-03,2020,2,2,51.0
2020-02-04,2020,2,3,90.0
2020-02-05,2020,2,2,60.0
2020-02-06,2020,2,3,84.0
2020-02-07,2020,2,1,14.0
2020-02-08,2020,2,2,48.0
2020-02-09,2020,2,1,4.0
2020-02-10,2020,2,3,81.0
